run,checkpoint_role,checkpoint,agent_steps,training_iteration,archived_task_mean_reward,fresh_task_mean_reward,factor,layer,probe_r_squared,probe_normalized_mse,null_contrast_r_squared,current_observation_r_squared,next_token_probability_r_squared,log_next_token_probability_r_squared,probe_minus_log_ntp_r_squared,probe_minus_log_ntp_ci_low,probe_minus_log_ntp_ci_high,permuted_label_null_r_squared_mean,gaussian_feature_null_r_squared_mean,matched_feature_null_r_squared_mean,activation_participation_ratio,activation_cev90_dimension
reward_both,init,initial_checkpoint,0,0,0.3351,0.3351,factor_2,layer_3,0.2647079497128051,0.7352920502871949,0.2769559788299054,5.30858029617054e-05,0.4980385080463605,0.5688623872984104,-0.3041544375856054,-0.30723438425951943,-0.3001276736918502,-0.0029233342469964898,-0.0024943798218436176,0.2647533960107767,6.161175981819447,7
reward_both,penultimate,iteration_008192_steps_034305400,34305400,8192,0.761725,0.761725,factor_1,layer_1,0.588335203061747,0.411664796938253,0.5981267214108859,0.1582780709819135,0.289182477381551,0.438077253300173,0.15025794976157406,0.01297183331209017,0.29274022069072986,-0.009802386690040143,-0.0033170830084389815,0.21794418778403957,3.836477529834474,6
reward_both,penultimate,iteration_008192_steps_034305400,34305400,8192,0.761725,0.761725,factor_1,layer_2,0.5711725284596956,0.4288274715403045,0.5895613458193325,0.1582780709819135,0.289182477381551,0.438077253300173,0.13309527515952255,0.0005910917287714136,0.27517813755676945,-0.008074117113818047,-0.003924869851723756,0.19882044391565043,2.85855118950323,6
reward_both,penultimate,iteration_008192_steps_034305400,34305400,8192,0.761725,0.761725,factor_1,layer_3,0.567461784452669,0.43253821554733096,0.5928004664721072,0.1582780709819135,0.289182477381551,0.438077253300173,0.12938453115249607,-0.0022746335039068345,0.269359056612793,-0.00830626763938338,-0.004266010445795265,0.19440429590635785,6.194706585453093,9
reward_both,penultimate,iteration_008192_steps_034305400,34305400,8192,0.761725,0.761725,factor_2,layer_1,0.6260251503712809,0.3739748496287191,0.6018828186737699,0.17853594716885768,0.4408691140684582,0.7620811971172207,-0.13605604674593968,-0.2502558688775114,0.06874890555215465,-0.00393549133577884,-0.0022610529564303316,0.1840161311062372,3.836477529834474,6
reward_both,penultimate,iteration_008192_steps_034305400,34305400,8192,0.761725,0.761725,factor_2,layer_2,0.6010760352488744,0.3989239647511255,0.5765139319487711,0.17853594716885768,0.4408691140684582,0.7620811971172207,-0.16100516186834612,-0.27263520646158257,0.04439505969920532,-0.0023505431563505706,-0.0031046148535502473,0.15225127474614128,2.85855118950323,6
reward_both,penultimate,iteration_008192_steps_034305400,34305400,8192,0.761725,0.761725,factor_2,layer_3,0.6091219411269713,0.39087805887302873,0.5881130823521943,0.17853594716885768,0.4408691140684582,0.7620811971172207,-0.15295925599024934,-0.26573301510682285,0.05283392178828012,-0.0014310345085043474,-0.0037481430442068307,0.14654939730554262,6.194706585453093,9
reward_both,final,checkpoint_000000,50000318,11940,0.771525,0.771525,factor_1,layer_1,0.6278521471828209,0.3721478528171791,0.6516884704182244,0.23472026393732637,0.27674747882721107,0.43981058251852423,0.18804156466429664,0.14737373489063182,0.22346067817651735,-0.005416103183625021,-0.0022758242663407646,0.32353321395744983,4.198235446072336,7
reward_both,final,checkpoint_000000,50000318,11940,0.771525,0.771525,factor_1,layer_2,0.6251708628509112,0.3748291371490889,0.6701964631650622,0.23472026393732637,0.27674747882721107,0.43981058251852423,0.18536028033238688,0.1445733754998128,0.22142225409150484,-0.006426014519779644,-0.0031481161463590367,0.3015049772373074,3.296237974265281,5
reward_both,final,checkpoint_000000,50000318,11940,0.771525,0.771525,factor_1,layer_3,0.628897121802847,0.37110287819715304,0.6658534277641701,0.23472026393732637,0.27674747882721107,0.43981058251852423,0.1890865392843227,0.14948680492258368,0.22448073361674195,-0.006676014349093462,-0.0033090205478911727,0.3011686981061432,4.629015722017677,6
