arm,run_id,variant,speed,phase,agent_steps,training_iteration,checkpoint_label,source,target,control,availability,r_squared,mse,target_variance,global_mse_ratio,branch_baseline_mse,fine_evaluation_mse,fine_mse_ratio,fine_mse_improvement,n_evaluated,mse_ci95_low,mse_ci95_high,n_fit,n_test,bootstrap_clusters,bootstrap_resamples,bootstrap_unit
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,coarse_belief,previous_action_latest_token,saved,0.4306428864758549,0.06826028041298592,0.1198900984840179,0.5693571135241451,0.06807518779579168,0.06826028041298592,1.0027189439087478,-0.00018509261719423797,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,m1_minus_m2,previous_action_latest_token,saved,0.0028048671461912145,0.2910027795618167,0.29182129953744806,0.9971951328538089,0.282286178641823,0.2910027795618167,1.0308785961889184,-0.008716600919993711,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,e_minus_s,previous_action_latest_token,saved,0.017015562956674724,0.20598390684652776,0.20954950972173833,0.9829844370433253,0.20527045112450196,0.20598390684652776,1.0034756864327885,-0.000713455722025802,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,fine_belief,shuffled_history_broken_alignment,saved,-0.04150417212576274,0.1095182685335175,0.10515394125592907,1.0415041721257627,0.07787630169164463,0.1095182685335175,1.4063105996887337,-0.03164196684187287,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,coarse_belief,shuffled_history_broken_alignment,saved,-0.02598525705062693,0.12300547351095009,0.1198900984840179,1.025985257050627,0.06807518779579168,0.12300547351095009,1.8069061209193482,-0.054930285715158414,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,m1_minus_m2,shuffled_history_broken_alignment,saved,-0.0752922210316398,0.31379317332396195,0.29182129953744806,1.0752922210316398,0.282286178641823,0.31379317332396195,1.111613663955246,-0.03150699468213897,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,e_minus_s,shuffled_history_broken_alignment,saved,-0.006889698674605205,0.21099324270113237,0.20954950972173833,1.0068896986746052,0.20527045112450196,0.21099324270113237,1.027879276073493,-0.005722791576630415,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,fine_belief,single_permuted_training_labels,saved,-0.006033052588031662,0.10578834051336487,0.10515394125592907,1.0060330525880317,0.07787630169164463,0.10578834051336487,1.3584150533013168,-0.027912038821720248,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,coarse_belief,single_permuted_training_labels,saved,0.010988555905667274,0.11857267943429031,0.1198900984840179,0.9890114440943327,0.06807518779579168,0.11857267943429031,1.7417899718466927,-0.050497491638498634,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,m1_minus_m2,single_permuted_training_labels,saved,-0.0348608922789817,0.3019944504253355,0.29182129953744806,1.0348608922789817,0.282286178641823,0.3019944504253355,1.069816637422122,-0.019708271783512532,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,e_minus_s,single_permuted_training_labels,saved,-0.0024584076203066907,0.21006466783326977,0.20954950972173833,1.0024584076203067,0.20527045112450196,0.21006466783326977,1.0233556105250627,-0.004794216708767812,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,fine_belief,log_next_token,not_fitted_or_saved,,,,,,,,,,,,,,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,coarse_belief,log_next_token,not_fitted_or_saved,,,,,,,,,,,,,,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,m1_minus_m2,log_next_token,not_fitted_or_saved,,,,,,,,,,,,,,,,
variant_2,20260909T104731Z-c4aff136,2,half,initial,0,0,initial_checkpoint,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_000000000/probe_initial_checkpoint.json,e_minus_s,log_next_token,not_fitted_or_saved,,,,,,,,,,,,,,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,fine_belief,post_final_layer_norm,saved,0.37099941956897997,0.04479442671853789,0.07121523908267731,0.62900058043102,0.049771308779962414,0.04479442671853789,0.9000049991968829,0.004976882061424527,10000,0.041422084349780224,0.04820983585288878,10000,10000,16,200,held_out_environment_trajectory_fixed_probe
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,coarse_belief,post_final_layer_norm,saved,0.508500631564606,0.04914388343234902,0.09998768378643161,0.491499368435394,0.05950856893746979,0.04914388343234902,0.8258286883690358,0.01036468550512077,10000,0.04582376416378966,0.05247843657372236,10000,10000,16,200,held_out_environment_trajectory_fixed_probe
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,m1_minus_m2,post_final_layer_norm,saved,0.06593012780175567,0.08181201605927997,0.08758661262325397,0.9340698721982443,0.08062671475369367,0.08181201605927997,1.0147010988753205,-0.001185301305586306,10000,0.06868613295264034,0.0946634919408265,10000,10000,16,200,held_out_environment_trajectory_fixed_probe
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,e_minus_s,post_final_layer_norm,saved,0.026972229343941834,0.23990359187888136,0.24655369467731408,0.9730277706560582,0.2385284392083794,0.23990359187888136,1.005765151841289,-0.0013751526705019501,10000,0.22342680726595693,0.2562756848928131,10000,10000,16,200,held_out_environment_trajectory_fixed_probe
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,fine_belief,categorical_plus_marginals,saved,0.4615712836380155,0.038344329764697774,0.07121523908267731,0.5384287163619845,0.049771308779962414,0.038344329764697774,0.770410316799524,0.01142697901526464,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,coarse_belief,categorical_plus_marginals,saved,0.6071347552672269,0.039281685861019586,0.09998768378643161,0.3928652447327731,0.05950856893746979,0.039281685861019586,0.6601013360327294,0.0202268830764502,10000,,,10000,10000,,,
variant_2,20260909T104731Z-c4aff136,2,half,final,2524368,77,checkpoint_000000,experiments/gol_reward_state_action_symmetry_cycle_1/variant_2/results/20260909T104731Z-c4aff136/checkpoint_probes/steps_002524368/probe_checkpoint_000000.json,m1_minus_m2,categorical_plus_marginals,saved,0.18863715785947333,0.07106452295146468,0.08758661262325397,0.8113628421405267,0.08062671475369367,0.07106452295146468,0.8814016938251732,0.00956219180222899,10000,,,10000,10000,,,
