run,seed,agent_steps,iteration,phase,n_fit,n_test,source,split,json_pointer,value
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,train_policy,/train_policy/mean_reward,0.6761
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,train_policy,/train_policy/mode,learned_stochastic
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,train_policy,/train_policy/token_accuracy,0.6761
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,policy,/policy/guess_fractions/0,0.05745
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,policy,/policy/guess_fractions/1,0.94255
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,policy,/policy/mean_reward,0.69015
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,policy,/policy/mode,learned_stochastic
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,policy,/policy/token_accuracy,0.69015
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,train_policy,/train_policy/guess_fractions/0,0.0512
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,train_policy,/train_policy/guess_fractions/1,0.9488
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/0,0.3114
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/1,0.6886
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,train_policy,/train_policy/mean_reward,0.6864
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,train_policy,/train_policy/mode,learned_stochastic
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,train_policy,/train_policy/token_accuracy,0.6864
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,policy,/policy/guess_fractions/0,0.0523
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,policy,/policy/guess_fractions/1,0.9477
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,policy,/policy/hidden_token_fractions/0,0.3067
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,policy,/policy/hidden_token_fractions/1,0.6933
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,policy,/policy/mean_reward,0.6945
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,policy,/policy/mode,learned_stochastic
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,policy,/policy/token_accuracy,0.6945
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,train_policy,/train_policy/guess_fractions/0,0.04655
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,train_policy,/train_policy/guess_fractions/1,0.95345
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/0,0.3114
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,train_policy,/train_policy/hidden_token_fractions/1,0.6886
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,train_policy,/train_policy/mean_reward,0.68875
token_cycle_1_context,42,529112,16,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000529112/probe_battery.json,train_policy,/train_policy/mode,learned_stochastic
