run,seed,agent_steps,iteration,phase,n_fit,n_test,source,layer,factor,probe_type,json_pointer,mse,target_variance,global_mse_ratio,r_squared,global_r2,null_mse,null_target_variance,null_r_squared,null_global_r2,selected_rcond,cv_folds,cv_validation_mse
token_cycle_1_context,42,66154,2,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000066154/probe_battery.json,control,strata,train_mean,/controls/train_mean/strata,0.09595638360300797,0.09555247831576143,1.004227051923361,-0.004227051923360925,-0.004227051923360925,0.06308358673254315,0.062195463140271204,-0.014279555894116225,-0.014279555894116225,,,
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,layer_1,strata,probe_fits,/layers/layer_1/probe_fits/strata,0.024595739299098834,0.09555247831576143,0.25740556113908514,0.7425944388609149,0.7425944388609149,0.028521374539198018,0.062195463140271204,0.5414235524724216,0.5414235524724216,1e-15,10,"{""0.0001"": 0.024422523146034263, ""0.01"": 0.025681325558347158, ""1e-06"": 0.024339566410352093, ""1e-08"": 0.024339566410352093, ""1e-10"": 0.024339566410352093, ""1e-15"": 0.024339566410352093}"
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,layer_1,strata,shuffled_training_labels,/layers/layer_1/shuffled_training_labels/strata,0.09683978711657079,0.09555247831576143,1.0134722701441123,-0.013472270144112342,-0.013472270144112342,0.06369044339271623,0.062195463140271204,-0.024036805531512107,-0.024036805531512107,0.01,10,"{""0.0001"": 0.09052749001563479, ""0.01"": 0.09034586470453214, ""1e-06"": 0.09064987631636631, ""1e-08"": 0.09064987631636631, ""1e-10"": 0.09064987631636631, ""1e-15"": 0.09064987631636631}"
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,layer_2,strata,probe_fits,/layers/layer_2/probe_fits/strata,0.006006125353586189,0.09555247831576143,0.06285682443252208,0.937143175567478,0.937143175567478,0.008981813757109177,0.062195463140271204,0.8555873161222027,0.8555873161222027,1e-15,10,"{""0.0001"": 0.006552094262756959, ""0.01"": 0.017643144622518092, ""1e-06"": 0.006552094262756959, ""1e-08"": 0.006552094262756959, ""1e-10"": 0.006552094262756959, ""1e-15"": 0.006552094262756959}"
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,layer_2,strata,shuffled_training_labels,/layers/layer_2/shuffled_training_labels/strata,0.09610459608568417,0.09555247831576143,1.0057781627400413,-0.005778162740041504,-0.005778162740041282,0.06345873662227168,0.062195463140271204,-0.020311344561441347,-0.020311344561441347,0.01,10,"{""0.0001"": 0.09064339379969891, ""0.01"": 0.09034917483060652, ""1e-06"": 0.09064339379969891, ""1e-08"": 0.09064339379969891, ""1e-10"": 0.09064339379969891, ""1e-15"": 0.09064339379969891}"
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,layer_3,strata,probe_fits,/layers/layer_3/probe_fits/strata,0.004832464058265374,0.09555247831576143,0.05057392695034114,0.9494260730496589,0.9494260730496589,0.0072765214055873825,0.062195463140271204,0.8830055917555202,0.8830055917555202,1e-15,10,"{""0.0001"": 0.005242055275817859, ""0.01"": 0.011757181857377036, ""1e-06"": 0.005242055275817859, ""1e-08"": 0.005242055275817859, ""1e-10"": 0.005242055275817859, ""1e-15"": 0.005242055275817859}"
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,layer_3,strata,shuffled_training_labels,/layers/layer_3/shuffled_training_labels/strata,0.09577125130101968,0.09555247831576143,1.0022895584616371,-0.0022895584616373643,-0.0022895584616371423,0.06351896403328142,0.062195463140271204,-0.0212797015439099,-0.02127970154390968,0.01,10,"{""0.0001"": 0.09067786262711965, ""0.01"": 0.0903690192642552, ""1e-06"": 0.09067786262711965, ""1e-08"": 0.09067786262711965, ""1e-10"": 0.09067786262711965, ""1e-15"": 0.09067786262711965}"
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,control,strata,current_visible_token,/controls/current_visible_token/strata,0.07080621181481284,0.09555247831576143,0.7410191034588092,0.25898089654119083,0.25898089654119083,0.06299653134821333,0.062195463140271204,-0.012879849550045952,-0.012879849550045952,,,
token_cycle_1_context,42,132080,4,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000132080/probe_battery.json,control,strata,train_mean,/controls/train_mean/strata,0.09595638360300797,0.09555247831576143,1.004227051923361,-0.004227051923360925,-0.004227051923360925,0.06308358673254315,0.062195463140271204,-0.014279555894116225,-0.014279555894116225,,,
token_cycle_1_context,42,264407,8,intermediate,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000264407/probe_battery.json,layer_1,strata,probe_fits,/layers/layer_1/probe_fits/strata,0.01929510663182867,0.09555247831576143,0.2019320374722916,0.7980679625277084,0.7980679625277084,0.026895632209803556,0.062195463140271204,0.5675627955507772,0.5675627955507773,1e-15,10,"{""0.0001"": 0.01922351607013194, ""0.01"": 0.019841908820269687, ""1e-06"": 0.01917435963679017, ""1e-08"": 0.01917435963679017, ""1e-10"": 0.01917435963679017, ""1e-15"": 0.01917435963679017}"
