condition,factor,factor_role,layer,is_last_layer,control,n_repeats,std_ddof,mse_mean,mse_std,mse_n_valid,mse_replicates,r_squared_mean,r_squared_std,r_squared_n_valid,r_squared_replicates
reward_both,factor_2,rewarded,layer_3,True,gaussian_covariance_matched,5,1,0.03900984302707392,2.667953565011346e-05,5,"[0.03905304110566986,0.039001376129378984,0.038994880450524676,0.03901561360565559,0.03898430384414051]",-0.0025559222286595682,0.0006856660881656254,5,"[-0.0036661161224209593,-0.0023383223162201094,-0.0021713828773775035,-0.0027042265355423645,-0.0018995632917369054]"
reward_both,factor_2,rewarded,layer_3,True,ntp_bin_matched_activations,5,1,0.01219846392438081,5.256747746703578e-05,5,"[0.012188136541671505,0.012218699808670838,0.0121943905036431,0.012123077093699093,0.01226801567421951]",0.6864985526603395,0.0013509881548259967,5,"[0.6867639671786484,0.6859784889004721,0.6866032398820103,0.6884359999221896,0.6847110674183774]"
reward_both,factor_2,rewarded,layer_3,True,shuffled_training_labels,5,1,0.03901245254260907,0.00027366598767457356,5,"[0.03899779007294619,0.039077542785706555,0.03943774404632629,0.038751212516787384,0.03879797329127895]",-0.0026229869756797973,0.007033236623517817,5,"[-0.002246160394121288,-0.0042958111562692025,-0.013553010852712655,0.0040909014864944915,0.0028891460382096668]"
reward_both,factor_2,rewarded,layer_3,True,visible_suffix_matched_activations,5,1,0.014733619670608253,5.269185338518224e-05,5,"[0.014770459499518452,0.014802626862511126,0.014676317413314278,0.014693149844595644,0.014725544733101762]",0.621344857850843,0.0013541846253484543,5,"[0.6203980714558766,0.6195713677891019,0.6228175302060555,0.6223849354464475,0.6215523843567339]"
reward_factor_1,factor_1,rewarded,layer_1,False,dirichlet_labels,5,1,0.05547574886030459,0.0003083630891046015,5,"[0.05508983560716297,0.05565501567801966,0.05547987812584479,0.05587597391085988,0.05527804097963565]",-0.0012234093808891177,0.00042508138855613237,5,"[-0.0010305534200500954,-0.0017182383194747075,-0.0016070599748216896,-0.0010516239501070501,-0.0007095712399920462]"
reward_factor_1,factor_1,rewarded,layer_1,False,gaussian_covariance_matched,5,1,0.03527217229933111,1.4728149434731374e-05,5,"[0.03526052614548208,0.03527814536689746,0.03528675940375602,0.03525281814905378,0.035282612431466236]",-0.0014764581155999323,0.00041817370377189345,5,"[-0.0011457909593945992,-0.001646050351078454,-0.0018906271537200148,-0.0009269392000907928,-0.0017728829137158009]"
reward_factor_1,factor_1,rewarded,layer_1,False,ntp_bin_matched_activations,5,1,0.013978989436213481,0.00010427771144154552,5,"[0.01396687678232273,0.013842915480949396,0.013972024559335277,0.014136402593420958,0.013976727765039046]",0.6030970616210121,0.0029607383471774735,5,"[0.6034409740291831,0.6069605850128572,0.6032948141202912,0.5986276580979427,0.603161276844786]"
reward_factor_1,factor_1,rewarded,layer_1,False,shuffled_training_labels,5,1,0.03535306269035625,0.0002725046598401971,5,"[0.035692501216835835,0.035438404600397114,0.03497180699079839,0.035450107505709184,0.03521249313804071]",-0.003773164471306023,0.007737175902883993,5,"[-0.013410781637663627,-0.006196262007551967,0.007051760185711187,-0.006528540497862334,0.0002180016008366259]"
reward_factor_1,factor_1,rewarded,layer_1,False,visible_suffix_matched_activations,5,1,0.014329079039986328,1.7873622148895807e-05,5,"[0.01433912005864629,0.014321620676111103,0.014314330049021414,0.014355532205928079,0.014314792210224758]",0.5931570303285199,0.0005074825460554668,5,"[0.5928719374876789,0.5933687943155437,0.593575795782118,0.5924059503352475,0.5935626737220114]"
reward_factor_1,factor_1,rewarded,layer_2,False,dirichlet_labels,5,1,0.05549744482383602,0.0003051825075607972,5,"[0.05509759070275295,0.05567342260303136,0.05548093085945853,0.055893798893241614,0.05534148106069564]",-0.001615216810078035,0.0003550649518658204,5,"[-0.0011714702978133928,-0.002049539142428003,-0.0016260655216147057,-0.0013709692126806505,-0.0018580398758534233]"
reward_factor_1,factor_1,rewarded,layer_2,False,gaussian_covariance_matched,5,1,0.035278514414707654,1.4031312640578958e-05,5,"[0.035265193554191714,0.03528612171606457,0.03528621523056316,0.03526185366442491,0.035293187908293916]",-0.0016565286593236196,0.0003983885417305535,5,"[-0.001278311857269454,-0.0018725214015367087,-0.0018751765419129374,-0.0011834829665005042,-0.002073150529398493]"
reward_factor_1,factor_1,rewarded,layer_2,False,ntp_bin_matched_activations,5,1,0.014045018727667738,0.00011547232693496689,5,"[0.01408035582875647,0.013860783838223987,0.014065784223519427,0.014178019915590352,0.014040149832248452]",0.601222303798434,0.0032785850558852757,5,"[0.6002189838288531,0.606453251951433,0.6006327128013136,0.5974460249382734,0.6013605454722969]"
reward_factor_1,factor_1,rewarded,layer_2,False,shuffled_training_labels,5,1,0.03533451265249848,0.00030398925047717275,5,"[0.03566154915145608,0.035431298163538696,0.03498522927308305,0.03555075928144404,0.03504372739297051]",-0.003246476575418633,0.008631112234583543,5,"[-0.012531965200024864,-0.0059944902211590545,0.006670663733579052,-0.009386328303233826,0.005009737113745527]"
reward_factor_1,factor_1,rewarded,layer_2,False,visible_suffix_matched_activations,5,1,0.014499483181042607,1.377707909576372e-05,5,"[0.01449815668906857,0.01449090273296979,0.014489806133076356,0.01449516070706474,0.014523389643033579]",0.5883187761324065,0.00039117013431763957,5,"[0.5883564389809718,0.5885623992546822,0.5885935348186595,0.5884415033603446,0.5876400042473744]"
reward_factor_1,factor_1,rewarded,layer_3,True,dirichlet_labels,5,1,0.055513565870594826,0.00028954884429626234,5,"[0.05514397118755867,0.05567259568259036,0.05550383677126133,0.055896755022887844,0.055350670688675926]",-0.001907365886919621,0.00027042491237949456,5,"[-0.0020142443206665472,-0.0020346556449155617,-0.002039597846339891,-0.0014239300503329222,-0.002024401572343182]"
reward_factor_1,factor_1,rewarded,layer_3,True,gaussian_covariance_matched,5,1,0.035305386843087434,1.679554423663315e-05,5,"[0.03529619847523065,0.035314777750404654,0.03529812494905483,0.03528796307635734,0.03532986996438969]",-0.0024195126957578415,0.0004768728733656099,5,"[-0.0021586290161537125,-0.0026861470419141664,-0.0022133270417168394,-0.001924802813876969,-0.003114657565127521]"
reward_factor_1,factor_1,rewarded,layer_3,True,ntp_bin_matched_activations,5,1,0.013894701122840934,0.00013534982880372934,5,"[0.013930124937718351,0.013711013340294766,0.013936753919782212,0.014072051250111677,0.01382356216629767]",0.6054902445761338,0.0038429633992086627,5,"[0.6044844625575125,0.610705658821174,0.6042962470594171,0.6004547742399667,0.6075100802025983]"
