condition,factor,factor_role,layer,is_last_layer,candidate,true_mse,true_r_squared,alternative_mse,alternative_r_squared,delta_r_squared,delta_r_squared_ci_low,delta_r_squared_ci_high,ci_reason,parameters,selection_next_observation_kl,test_next_observation_kl,selection_affine_residual_ratio,selection_min_permutation_mse,n_test_episodes,n_bootstrap_resamples
token_guess,factor_2,guessed,layer_1,False,alternative_10,0.008677767496439273,0.8552227474596027,0.005152086392297505,0.8618071397742997,-0.00658439231469693,-0.010561938808923862,-0.003077234300868047,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.52}",0.010378335728968293,0.010560779785766269,0.08617950980317375,0.010436803957409695,28,200
token_guess,factor_2,guessed,layer_1,False,alternative_11,0.008677767496439273,0.8552227474596027,0.009376782512427823,0.8623713127770585,-0.007148565317455724,-0.009542833301192146,-0.004580928180603256,,"{""alpha"":0.96,""strength"":null,""x"":0.28}",0.007829078207389725,0.007344470787559439,0.05106792474829046,0.00633325732898614,28,200
token_guess,factor_2,guessed,layer_2,False,alternative_2,0.00800450056534839,0.8664553296357949,0.003854045733140953,0.8885820033342462,-0.02212667369845145,-0.02672256821145361,-0.018646374067311466,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.4}",0.00877892282092242,0.009052133702600797,0.04560702153826061,0.007956628035621928,28,200
token_guess,factor_2,guessed,layer_2,False,alternative_10,0.00800450056534839,0.8664553296357949,0.004722896139231979,0.8733191805546695,-0.0068638509188746755,-0.01076415845616326,-0.003194501741480665,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.52}",0.010378335728968293,0.010560779785766269,0.08617950980317375,0.010436803957409695,28,200
token_guess,factor_2,guessed,layer_2,False,alternative_11,0.00800450056534839,0.8664553296357949,0.008900597038542866,0.8693605739184531,-0.0029052442826583147,-0.005885966044477164,-0.0006298317571278572,,"{""alpha"":0.96,""strength"":null,""x"":0.28}",0.007829078207389725,0.007344470787559439,0.05106792474829046,0.00633325732898614,28,200
token_guess,factor_2,guessed,layer_3,True,alternative_2,0.008083706270594099,0.8651338855667179,0.003995589916200649,0.8844900515495046,-0.019356165982786708,-0.02392633177984044,-0.015713615798623317,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.4}",0.00877892282092242,0.009052133702600797,0.04560702153826061,0.007956628035621928,28,200
token_guess,factor_2,guessed,layer_3,True,alternative_10,0.008083706270594099,0.8651338855667179,0.004872622712301275,0.8693031098196811,-0.004169224252963122,-0.008192404826464456,-0.0002581022536521791,,"{""alpha"":0.8799999999999999,""strength"":null,""x"":0.52}",0.010378335728968293,0.010560779785766269,0.08617950980317375,0.010436803957409695,28,200
token_guess,factor_2,guessed,layer_3,True,alternative_11,0.008083706270594099,0.8651338855667179,0.00876986462480197,0.8712794123320347,-0.006145526765316767,-0.009229218175255042,-0.003770898631148841,,"{""alpha"":0.96,""strength"":null,""x"":0.28}",0.007829078207389725,0.007344470787559439,0.05106792474829046,0.00633325732898614,28,200
reward_both,factor_1,rewarded,layer_1,False,alternative_9,0.015592540198170494,0.703678098310845,0.003483650897799198,0.8783195885446742,-0.17464149023382913,-0.18962568509778577,-0.1618204256412446,,"{""alpha"":0.94,""strength"":0.6,""x"":0.4}",0.014012133987423936,0.013210532150112501,0.3480958081989684,0.022985849007514114,28,200
reward_both,factor_1,rewarded,layer_1,False,alternative_10,0.015592540198170494,0.703678098310845,0.005042366068114753,0.8558905626619563,-0.15221246435111124,-0.16340479631201643,-0.14265864921126822,,"{""alpha"":0.94,""strength"":0.8,""x"":0.4}",0.005287648194904554,0.004915479760986429,0.15349588471707262,0.010094953318842184,28,200
