condition,factor,factor_role,layer,is_last_layer,probe_mse,probe_r_squared,delta_contrast_r_squared,baseline,baseline_mse,baseline_r_squared,delta_r_squared,delta_r_squared_ci_low,delta_r_squared_ci_high,mse_improvement,mse_improvement_ci_low,mse_improvement_ci_high,ci_reason,delta_r_squared_ci_reason,n_test_episodes,n_bootstrap_resamples
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,policy_probabilities,0.057050295391063176,0.04819009880993563,0.8070326486496671,0.787945488323695,0.8342328588284812,0.0483725278946239,0.04636903946540946,0.050911067324779104,,,28,200
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,centered_log_policy,0.04414566261421008,0.2634870953291628,0.5917356521304399,0.5794368521729192,0.6090698198226226,0.035467895117770806,0.034266256192176006,0.036545526879195836,,,28,200
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,suffix_0_belief,0.05996000249413313,-0.0003545758719569747,0.8555773233315597,0.8512657273810965,0.8626544418914867,0.051282234997693854,0.049620876233249275,0.05285282069963497,,,28,200
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,suffix_1_belief,0.036920224332928034,0.3840341257944824,0.4711886216651203,0.46428178997102776,0.4791522307707283,0.02824245683648876,0.027177785696301957,0.029087053745370465,,,28,200
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,suffix_2_belief,0.02316076477421854,0.6135927942156014,0.24162995324400127,0.23612776792384613,0.24889779250941652,0.014482997277779268,0.013973335579869451,0.015067080346420302,,,28,200
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,suffix_4_belief,0.011466099019041045,0.80870306631123,0.04651968114837269,0.04183442367129948,0.05217803488796668,0.0027883315226017724,0.0025193477326863906,0.0030585444623953155,,,28,200
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,suffix_8_belief,0.005214980528045491,0.9129948396045529,-0.057772092144950174,-0.06143673793179663,-0.05383878589289311,-0.0034627869683937816,-0.003720996947576422,-0.00319969712171632,,,28,200
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,suffix_16_belief,0.001814825849218504,0.9697219935430443,-0.11449924608344163,-0.1194556414686454,-0.10975530110942584,-0.006862941647220769,-0.007099298373841228,-0.006591455014767549,,,28,200
token_guess,factor_2,guessed,layer_1,False,0.008677767496439273,0.8552227474596027,0.1631877085087804,suffix_32_belief,0.0003067901217068252,0.9948816062489029,-0.1396588587893002,-0.1475243241202861,-0.13344938192747746,-0.008370977374732448,-0.008617006725635134,-0.008095082013876966,,,28,200
token_guess,factor_2,guessed,layer_2,False,0.00800450056534839,0.8664553296357949,0.17683374908454885,train_mean,0.05996000249413312,-0.0003545758719569747,0.8668099055077517,0.8631775433374349,0.8738003056805212,0.05195550192878473,0.050278162144966734,0.05354647608773558,,,28,200
